child in a pink dress is climbing up a set of stairs in an entry way .,6
climbers in a row are climbing the rock while the man in red watches and holds the line .,9
little boy at a lake watching a duck .,9
boy in a green shirt watches kayakers .,9
man and blond woman holding hands outdoors , man in background watches .,9
in blue shirt biting hand of girl in black striped jacket while another guy watches,7
person eats takeout while watching a small television .,2
boy takes a jump on his skateboard while another boy with a skateboard watches .,0
little boy skateboarder is doing a trick on his board while another young skateboarder watches .,6
crowd watching air balloons at night .,0
are watching hot air balloons in the park .,0
watching hot air balloons .,0
people and two horses watching a fire .,6
large brown dog is pushing a small Boston terrier with his face while anouther dog watches .,1
boy is jumping on an inflatable ring and a girl is watching him,9
helmeted men sit on yellow snowmobiles while another man stands behind watching .,1
brown and white dug jumping up to catch a Frisbee while an audience watches .,6
dog jumps to catch a Frisbee , while many people watch .,9
agile dog catches a Frisbee while a crowd of onlookers watches closely .,1
climber wearing a blue helmet and headlamp is attached to a rope on the rock face .,0
girl climbing down from the side of a bright blue truck while others watch .,7
man is helping a girl step down from a colorful truck whilst a woman and three children watch .,6
child practices hitting a baseball into a net , while two adult men watch .,0
woman with an umbrella is sitting at a station , with an Aquos commercial on the wall .,2
child is jumping into a pool while a man is watching the child,9
swimming person is watching a child jump into a pool with blue water .,7
couple of people sit outdoors at a table with an umbrella and talk .,1
people are sitting at an outside picnic bench with an umbrella .,0
sit and watch the fish moving in the pond,7
children watching fish in a pool .,7
woman drawing portrait while a man on a cellphone watches .,6
child is being swung by her arms while another child watches .,6
young child is swung by his or her hands while another child sits on grass watching .,9
blonde models pose with a man under an umbrella .,9
girl is doing a handstand on a trampoline while another girl watches,0
woman is watching the tide .,9
girls sparring with a red and blue bat while another girl watches .,9
kids with helmets playing with Nerf swords while one looks on drinking from a plastic cup .,0
young girls playing with rubber swords in a park while a chaperone watches .,6
white dog and a black dog running side by side on the grass while onlookers watch .,9
man wades in the water and watches a waterfall .,9
man jumping on his bmx with another bmxer watching .,6
mountain biker is jumping his bike over a rock as another cyclist stands on the trail watching .,1
man is aiming to shoot something while his dog watches .,9
young man is sitting at a table with a laptop and earphones .,9
young man with headphones looking at a Macintosh laptop computer .,2
sitting with headphones at a laptop .,9
girls on the shore watch people in a boat fish .,7
little girls in bathing suits sit on the shore of a lake , watching someone fishing from a boat .,0
lone woman sitting on an usual green bench with a cup in her hand,9
girl is hooked to bungee cords as the crowd behind her watches .,1
small girl is sitting in a harness , strapped to a tether , while others watch .,6
baby stands on the side of a couch and knocks over a lamp .,6
indoors , climbing on red couch arm , reaching for lamp .,7
girl in a teal dress on the arm of a chair reaching for a floor lamp .,7
men are watching something .,9
group of people sit watching an event behind a Tim hortons sign .,1
crowd is watching 2 shirtless men , one in yellow pants and one in black shorts perfom .,0
man in yellow pants and wearing no shirt is being watched by many people .,1
black and white dog is jumping up to catch a toy as another dog watches .,9
black and white dog leaps for a flying disc while another one watches .,1
child slides down a colorful slide while another child watches,9
boy sits in a toy car while drinking from his sippy cup .,1
toddler drinking from a cup in a toy car .,1
toddler in a red toy car drinks from a juice cup,1
boy sits in his toy car sipping from a cup .,9
child sits in a toy car and drinks from a sippy cup .,1
bird watches the waves crash over the rocks .,6
guitarist plays while people play with hula-hoops in the background .,9
guitarist sits playing before microphones , while a man and a boy dance and a woman stands by .,0
man in a white hat plays guitar on a stage .,1
man plays guitar on a stage while another woman smiles,1
man and his dog watch the sunset from a bench .,9
old man with sunglasses and a watch around kids,1
little boy plays with a water toy while others watch .,9
young boy splashes in a yellow wading poll while mom watches,6
skydiver safely lands while another watches from the ground .,2
dog chewing a blue rope while two men watch from behind .,0
woman sings in a club with a guitarist behind her .,0
woman sings into a microphone by a guy playing a guitar .,1
singing with a microphone next to a person playing guitar .,1
girl is playing an electric guitar in front of an amplifier .,7
girl plays her guitar on a dark stage .,9
woman is playing guitar onstage,9
woman playing guitar in red and blue light,0
player performs at a nightclub red guitar .,9
player on the white and blue team kicks a soccer ball toward his teammate while players on the red team watch .,0
soccer player dressed in blue and white is kicking the ball to his teammate while other teammates and opponents dressed in red watch .,0
man and woman sit on a car and watch the road .,9
young man holds up a hand written sign next to a woman with a multicolored umbrella .,1
and woman watching something near rocky ocean surf .,9
white dog is watching a black dog jump on a lawn next to a pile of large rocks .,1
white dog watching a black dog in the air .,9
black dog catches a tennis ball in his mouth while a white dog watches .,9
black dog is catching a ball , while the white one watches .,1
crowd is watching a dog climb up a staircase .,1
watch a German Shephard climb steps on an obstacle course .,7
jogger is being sheltered with an umbrella .,7
runner is being handed a water bottle from a woman in a teal jacket holding an umbrella .,9
woman assists a marathon runner by holding an umbrella over her and giving her water .,0
woman is holding a pink and brown umbrella for a lady running in a race wearing number 13406 .,7
a rainy day , a woman holds an umbrella above a runner and gives her water .,0
man in the red shirt tried to hang onto the rock while three others watched .,0
busy beach has people scattered on it watching the sky .,9
watch something in the sky .,9
woman sings into a microphone with a guitar player in the background .,1
young woman stands singing at a microphone while a man behind her holds a guitar .,1
are gathered around watching children with a pig .,6
children pet a pig while a crowd watches .,2
children fall headfirst into a colorful ball pit while a third child watches .,6
girl in pink is watching the boy catch a fish from the river .,7
women watching people in white shirts , one of those persons holding a sword .,9
person is watching two puppies playing .,1
men in black bulletproof vests watch something taking place to the right of the picture .,0
men in bullet proof vests watch over a crowd by some white tents .,7
guy outside playing a guitar and smoking a cigarette .,0
man with an electric guitar smokes a cigarette sitting outside .,0
scruffy looking man smoking while sitting on the sidewalk and holding a guitar next to a bike of some sort .,2
young man is smoking a cigarette while holding a maroon guitar .,9
playing an electric guitar on a sidewalk and smoking a cigarette .,2
dog in midair catching a ring , while another dog watches .,1
child in period costume looking at a table with a bowl , cup , and a basket of apples .,9
group of boys play flag football while some bystanders watch .,2
boys in team uniforms are outside playing sports while people watch .,0
group of girls and boys practice together on a school stage while a few adults and children watch on .,6
boy holding a hose next to a man while another boy watches on , held by a woman .,9
child is playing with a water spout outdoors while the rest of his family watches .,9
man in an orange shirt is helping a boy squirt water from a hose into a pond whilst a woman and boy watch .,0
child plays a red toy guitar and sings into multicolored plastic microphone .,1
little boy is playing with a toy guitar and microphone .,1
little boy plays a toy guitar while singing into a toy microphone .,1
little boy with toy microphone and guitar pretends to play music .,1
child has a small red guitar and toy microphone .,1
airborne kid is watched by his launcher and others .,7
group of people gathered at night watching an event .,2
people are gathered and watching an event .,9
man and a boy play music as little girls watch .,1
man is playing a guitar with a child playing a harmonica while three young girls watch .,9
children watch a man onstage playing guitar .,6
little girls watch a band .,9
baseball is recoiling from an action taken on a treated field watched by others .,0
boy is being watched as he leaps up in the air on a trampoline .,1
guy standing is watching another guy in midair .,1
shirtless teenager bounces on a trampoline as other children watch .,9
person with gray hair wears a red hat and watches it snow .,9
boy is diving into the pool as the couple watch .,1
boy jumps into a pool while lifeguards watch .,7
young children , one wearing a red striped shirt , are looking in through the window while an adult in a pink shirt watches from behind .,0
men are watching others on a beach shore .,6
construction worker in a red shirt watching another construction worker with a hammer fix something .,0
blue rally car pulls away from the spectators watching from the side of the track .,0
race car zooms while onlookers watch .,1
racing car goes through a dirt course while fans watch .,6
boy does a cannonball into a pool while a girl watches .,0
boy jumping off of a diving board while a girl watches .,6
boy jumps into a pool while a girl watches .,0
large , dark colored dog is doing a climbing stunt outdoors , while a man watches .,9
boy standing and watching a group of people on a basketball court .,9
boy watches his classmates play in a courtyard , looking from above .,1
little boy is standing above a structure and watching the other boys play a game .,2
brown dog is resting its paws on a laptop keyboard .,2
dog sits with its paws on a laptop computer .,2
dog with a red bandanna has its paws on a laptop 's keyboard and is looking up .,0
boy runs in a race while onlookers watch .,1
dirt biker pushes his motorcycle up a rock while another rider watches .,1
man in red on a dirt bike struggles up a rock while another man in red watches .,0
boy watches another person falling in the snow .,1
playing soccer on a field while parents watch .,1
woman is climbing a volleyball net on a beach as two others watch .,1
girl in a blue jacket stands in front of a drab crowd while they watch something .,1
boy is sitting on a brightly colored chair next to a child 's book playing a guitar .,6
toddler is sitting on a red checked chair whilst playing a guitar .,1
young child is sitting in a colorful chair with a guitar in his hands and a book sitting next to him .,6
young child playing guitar on the chair,9
barefoot boy playing a guitar setting in a large muti colored chair with a picture of three pigs beside him .,6
little girl takes a picture while mom watches in boredom .,2
girl in the pink sweater is playing with a camera whilst being watched by the woman on the couch,9
little Jewish boy is watching an old man playing the violin in a park .,6
old man playing a violin at a park as a young boy watches .,9
old man playing the violin is being watched by a child .,9
boy watching an old man play violin in the park .,9
dog watches a tennis ball on the beach .,6
man watching two dogs in the water .,6
dogs are running in the water while a man watches from the dock .,9
dogs wade through shallow water while a man watches from a dock .,6
teenager blows a whistle and wears white face paint , ear muffs , and a yellow hat while another teen watches .,0
man in jeans reclines while another watches .,9
little boy is watching a palace guard stand outside a little black hut .,7
young boy stands and watches a British guardsman .,1
man plays his guitar on the street .,1
man sits on a box and plays a guitar in the street .,9
lady watches the man without a shirt .,1
crowded stadium is full of people watching an event .,2
stadium full of people watch a game .,0
