3,child in a pink dress is climbing up a set of stairs in an entry way .
6,climbers in a row are climbing the rock while the man in red watches and holds the line .
5,little boy at a lake watching a duck .
1,boy in a green shirt watches kayakers .
4,man and blond woman holding hands outdoors , man in background watches .
1,in blue shirt biting hand of girl in black striped jacket while another guy watches
0,person eats takeout while watching a small television .
7,boy takes a jump on his skateboard while another boy with a skateboard watches .
1,little boy skateboarder is doing a trick on his board while another young skateboarder watches .
0,crowd watching air balloons at night .
0,are watching hot air balloons in the park .
0,watching hot air balloons .
0,people and two horses watching a fire .
2,large brown dog is pushing a small Boston terrier with his face while anouther dog watches .
0,boy is jumping on an inflatable ring and a girl is watching him
0,helmeted men sit on yellow snowmobiles while another man stands behind watching .
1,brown and white dug jumping up to catch a Frisbee while an audience watches .
1,dog jumps to catch a Frisbee , while many people watch .
7,agile dog catches a Frisbee while a crowd of onlookers watches closely .
7,climber wearing a blue helmet and headlamp is attached to a rope on the rock face .
1,girl climbing down from the side of a bright blue truck while others watch .
3,man is helping a girl step down from a colorful truck whilst a woman and three children watch .
7,child practices hitting a baseball into a net , while two adult men watch .
4,woman with an umbrella is sitting at a station , with an Aquos commercial on the wall .
5,child is jumping into a pool while a man is watching the child
5,swimming person is watching a child jump into a pool with blue water .
4,couple of people sit outdoors at a table with an umbrella and talk .
4,people are sitting at an outside picnic bench with an umbrella .
9,sit and watch the fish moving in the pond
0,children watching fish in a pool .
7,woman drawing portrait while a man on a cellphone watches .
1,child is being swung by her arms while another child watches .
0,young child is swung by his or her hands while another child sits on grass watching .
4,blonde models pose with a man under an umbrella .
7,girl is doing a handstand on a trampoline while another girl watches
0,woman is watching the tide .
1,girls sparring with a red and blue bat while another girl watches .
4,kids with helmets playing with Nerf swords while one looks on drinking from a plastic cup .
7,young girls playing with rubber swords in a park while a chaperone watches .
2,white dog and a black dog running side by side on the grass while onlookers watch .
9,man wades in the water and watches a waterfall .
0,man jumping on his bmx with another bmxer watching .
0,mountain biker is jumping his bike over a rock as another cyclist stands on the trail watching .
1,man is aiming to shoot something while his dog watches .
3,young man is sitting at a table with a laptop and earphones .
4,young man with headphones looking at a Macintosh laptop computer .
4,sitting with headphones at a laptop .
9,girls on the shore watch people in a boat fish .
5,little girls in bathing suits sit on the shore of a lake , watching someone fishing from a boat .
4,lone woman sitting on an usual green bench with a cup in her hand
9,girl is hooked to bungee cords as the crowd behind her watches .
7,small girl is sitting in a harness , strapped to a tether , while others watch .
7,baby stands on the side of a couch and knocks over a lamp .
4,indoors , climbing on red couch arm , reaching for lamp .
7,girl in a teal dress on the arm of a chair reaching for a floor lamp .
0,men are watching something .
0,group of people sit watching an event behind a Tim hortons sign .
0,crowd is watching 2 shirtless men , one in yellow pants and one in black shorts perfom .
4,man in yellow pants and wearing no shirt is being watched by many people .
2,black and white dog is jumping up to catch a toy as another dog watches .
2,black and white dog leaps for a flying disc while another one watches .
1,child slides down a colorful slide while another child watches
1,boy sits in a toy car while drinking from his sippy cup .
3,toddler drinking from a cup in a toy car .
3,toddler in a red toy car drinks from a juice cup
1,boy sits in his toy car sipping from a cup .
3,child sits in a toy car and drinks from a sippy cup .
9,bird watches the waves crash over the rocks .
9,guitarist plays while people play with hula-hoops in the background .
7,guitarist sits playing before microphones , while a man and a boy dance and a woman stands by .
8,man in a white hat plays guitar on a stage .
8,man plays guitar on a stage while another woman smiles
9,man and his dog watch the sunset from a bench .
4,old man with sunglasses and a watch around kids
1,little boy plays with a water toy while others watch .
1,young boy splashes in a yellow wading poll while mom watches
1,skydiver safely lands while another watches from the ground .
1,dog chewing a blue rope while two men watch from behind .
3,woman sings in a club with a guitarist behind her .
7,woman sings into a microphone by a guy playing a guitar .
8,singing with a microphone next to a person playing guitar .
4,girl is playing an electric guitar in front of an amplifier .
8,girl plays her guitar on a dark stage .
8,woman is playing guitar onstage
8,woman playing guitar in red and blue light
8,player performs at a nightclub red guitar .
9,player on the white and blue team kicks a soccer ball toward his teammate while players on the red team watch .
9,soccer player dressed in blue and white is kicking the ball to his teammate while other teammates and opponents dressed in red watch .
9,man and woman sit on a car and watch the road .
3,young man holds up a hand written sign next to a woman with a multicolored umbrella .
0,and woman watching something near rocky ocean surf .
5,white dog is watching a black dog jump on a lawn next to a pile of large rocks .
2,white dog watching a black dog in the air .
2,black dog catches a tennis ball in his mouth while a white dog watches .
2,black dog is catching a ball , while the white one watches .
5,crowd is watching a dog climb up a staircase .
1,watch a German Shephard climb steps on an obstacle course .
4,jogger is being sheltered with an umbrella .
3,runner is being handed a water bottle from a woman in a teal jacket holding an umbrella .
4,woman assists a marathon runner by holding an umbrella over her and giving her water .
3,woman is holding a pink and brown umbrella for a lady running in a race wearing number 13406 .
7,a rainy day , a woman holds an umbrella above a runner and gives her water .
9,man in the red shirt tried to hang onto the rock while three others watched .
0,busy beach has people scattered on it watching the sky .
9,watch something in the sky .
3,woman sings into a microphone with a guitar player in the background .
7,young woman stands singing at a microphone while a man behind her holds a guitar .
0,are gathered around watching children with a pig .
7,children pet a pig while a crowd watches .
7,children fall headfirst into a colorful ball pit while a third child watches .
9,girl in pink is watching the boy catch a fish from the river .
0,women watching people in white shirts , one of those persons holding a sword .
0,person is watching two puppies playing .
9,men in black bulletproof vests watch something taking place to the right of the picture .
1,men in bullet proof vests watch over a crowd by some white tents .
8,guy outside playing a guitar and smoking a cigarette .
4,man with an electric guitar smokes a cigarette sitting outside .
7,scruffy looking man smoking while sitting on the sidewalk and holding a guitar next to a bike of some sort .
8,young man is smoking a cigarette while holding a maroon guitar .
8,playing an electric guitar on a sidewalk and smoking a cigarette .
2,dog in midair catching a ring , while another dog watches .
3,child in period costume looking at a table with a bowl , cup , and a basket of apples .
1,group of boys play flag football while some bystanders watch .
1,boys in team uniforms are outside playing sports while people watch .
7,group of girls and boys practice together on a school stage while a few adults and children watch on .
7,boy holding a hose next to a man while another boy watches on , held by a woman .
1,child is playing with a water spout outdoors while the rest of his family watches .
3,man in an orange shirt is helping a boy squirt water from a hose into a pond whilst a woman and boy watch .
8,child plays a red toy guitar and sings into multicolored plastic microphone .
8,little boy is playing with a toy guitar and microphone .
8,little boy plays a toy guitar while singing into a toy microphone .
4,little boy with toy microphone and guitar pretends to play music .
8,child has a small red guitar and toy microphone .
4,airborne kid is watched by his launcher and others .
0,group of people gathered at night watching an event .
0,people are gathered and watching an event .
1,man and a boy play music as little girls watch .
7,man is playing a guitar with a child playing a harmonica while three young girls watch .
8,children watch a man onstage playing guitar .
1,little girls watch a band .
4,baseball is recoiling from an action taken on a treated field watched by others .
9,boy is being watched as he leaps up in the air on a trampoline .
0,guy standing is watching another guy in midair .
1,shirtless teenager bounces on a trampoline as other children watch .
4,person with gray hair wears a red hat and watches it snow .
9,boy is diving into the pool as the couple watch .
1,boy jumps into a pool while lifeguards watch .
3,young children , one wearing a red striped shirt , are looking in through the window while an adult in a pink shirt watches from behind .
0,men are watching others on a beach shore .
5,construction worker in a red shirt watching another construction worker with a hammer fix something .
9,blue rally car pulls away from the spectators watching from the side of the track .
1,race car zooms while onlookers watch .
1,racing car goes through a dirt course while fans watch .
7,boy does a cannonball into a pool while a girl watches .
7,boy jumping off of a diving board while a girl watches .
7,boy jumps into a pool while a girl watches .
7,large , dark colored dog is doing a climbing stunt outdoors , while a man watches .
5,boy standing and watching a group of people on a basketball court .
1,boy watches his classmates play in a courtyard , looking from above .
5,little boy is standing above a structure and watching the other boys play a game .
2,brown dog is resting its paws on a laptop keyboard .
4,dog sits with its paws on a laptop computer .
7,dog with a red bandanna has its paws on a laptop 's keyboard and is looking up .
1,boy runs in a race while onlookers watch .
1,dirt biker pushes his motorcycle up a rock while another rider watches .
3,man in red on a dirt bike struggles up a rock while another man in red watches .
9,boy watches another person falling in the snow .
1,playing soccer on a field while parents watch .
7,woman is climbing a volleyball net on a beach as two others watch .
3,girl in a blue jacket stands in front of a drab crowd while they watch something .
7,boy is sitting on a brightly colored chair next to a child 's book playing a guitar .
8,toddler is sitting on a red checked chair whilst playing a guitar .
3,young child is sitting in a colorful chair with a guitar in his hands and a book sitting next to him .
8,young child playing guitar on the chair
3,barefoot boy playing a guitar setting in a large muti colored chair with a picture of three pigs beside him .
1,little girl takes a picture while mom watches in boredom .
6,girl in the pink sweater is playing with a camera whilst being watched by the woman on the couch
9,little Jewish boy is watching an old man playing the violin in a park .
7,old man playing a violin at a park as a young boy watches .
8,old man playing the violin is being watched by a child .
9,boy watching an old man play violin in the park .
2,dog watches a tennis ball on the beach .
9,man watching two dogs in the water .
9,dogs are running in the water while a man watches from the dock .
7,dogs wade through shallow water while a man watches from a dock .
7,teenager blows a whistle and wears white face paint , ear muffs , and a yellow hat while another teen watches .
1,man in jeans reclines while another watches .
5,little boy is watching a palace guard stand outside a little black hut .
1,young boy stands and watches a British guardsman .
8,man plays his guitar on the street .
8,man sits on a box and plays a guitar in the street .
1,lady watches the man without a shirt .
0,crowded stadium is full of people watching an event .
1,stadium full of people watch a game .
9,dog bounding across the sandy landscape in front of people watching .
1,children jumping while an older man watches from a row of chairs nearby .
1,young children jump while an older man watches from his seat .
9,group of foreign people stand with umbrellas on the side of the street .
9,group of people with clear umbrellas standing on the street .
9,trying to stay dry with umbrellas in the city .
9,walk in the rain with umbrellas .
4,people are walking on a rainy busy street in Asia with clear umbrellas .
5,woman watching herself on a big screen while she is playing a boxing video game .
7,man with a baseball cap on backwards is holding a cup
7,boy holds a basketball during a game , while others watch .
5,older child watching a toddler play with a long spring inside a house .
1,young child plays with a slinky in the family room while an older sibling watches .
9,kids watched as the soda bottle launched into the air .
0,basketball players watching the ball .
1,man watches a small child in pink .
9,skating while people watch on the side .
1,boys race on ice skates while others watch .
7,person rolls down a hill riding a wagon as another watches .
2,standing brown dog watches another dog lay in the grass
2,small dog in a harness jumps over a snow covered log while another dog watches .
1,boys watch a third boy kicking some snow .
4,woman in black holding a cup of ice cream .
4,woman is dressed in black and holding a cup .
3,women are operating a laptop connected to a camera in a parking lot with a third person standing by .
9,little girl playing the guitar , some flowers to the left .
8,little girl sitting on a bed playing a guitar .
3,young girl in a pink room tries to play a black electric guitar .
8,young girl plays guitar by pink walls .
